,Entry,Pts
Chip Ganassi Racing,10,565
Chip Ganassi Racing,9,491
Team Penske,2,440
Arrow McLaren,5,429
Team Penske,3,426
Chip Ganassi Racing,8,397
Team Penske,12,388
Rahal Letterman Lanigan,45,343
Arrow McLaren,7,339
Andretti Global,26,331
Andretti Global,28,327
Andretti Global,28,271
Arrow McLaren,6,270
Rahal Letterman Lanigan,15,243
Ed Carpenter Racing,21,237
Dale Coyne Racing,18,230
Juncos Hollinger Racing,77,221
A.J. Foyt Racing,14,187
Meyer Shank Racing,6,184
Ed Carpenter Racing,20,170
Meyer Shank Racing,60,160
Rahal Letterman Lanigan,30,160
Juncos Hollinger Racing,78,159
Andretti Global,29,156
Dale Coyne Racing,51,122
A.J. Foyt Racing,55,107
